[2026-06-09 10:53:12.627687] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:53:12.635561] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:02:58.761426] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:02:59.712377] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:02:59.885741] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:03:51.001931] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:03:51.435622] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:08:52.997371] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:08:53.012252] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:08:53.017194] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:32:03.294175] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:32:03.813446] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:32:03.824816] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:36:37.824977] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:36:37.830082] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:36:37.836259] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:43:17.391847] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 11:43:17.400661] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
